year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2011,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ba5h11bl576675,oh,3.9,52160.0mi,red,—,wells fargo dealer services,$22300,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2005,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66835a009909,ca,2.5,154582.0mi,gold,beige,skyhigh remarketing inc,$5200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Sonic,LT,Hatchback,automatic,1g1jc6sh8f4118180,il,5.0,16528.0mi,red,gray,gm remarketing,$11900,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2005,Chrysler,PT Cruiser,Limited,Wagon,automatic,3c8fy68b85t643250,ca,1.9,57646.0mi,red,black,desert fleet lease,$3400,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar5cm862651,tn,4.7,26388.0mi,white,black,nissan infiniti lt,$19800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2007,GMC,Yukon,Denali,SUV,automatic,1gkfk63867j140491,nc,3.2,123870.0mi,black,tan,performance chev subaru porsche,$15500,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek8br218994,fl,4.3,46557.0mi,silver,gray,world omni financial corporation,$11900,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
1998,Toyota,Camry,CE,sedan,automatic,4t1bg28kxwu857915,md,2.0,182371.0mi,gold,tan,autonation honda dulles,$1100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2009,Jaguar,XF,Supercharged,Sedan,automatic,sajwa07c691r15239,fl,4.1,74194.0mi,black,tan,tdaf remarketing,$19000,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
2010,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap9al636162,pa,3.6,61730.0mi,silver,gray,ford-lincoln dealer program,$7500,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
2001,Mercedes-Benz,E-Class,E320,Sedan,automatic,wdbjf65j41b356673,ca,2.3,113099.0mi,beige,beige,walters auto sales/service inc,$2100,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2014,GMC,Savana Cargo,2500,van,automatic,1gtw7fca8e1909666,or,4.7,9370.0mi,white,gray,u-haul,$19300,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja2cr387134,ny,3.2,20757.0mi,blue,beige,"ford motor credit company,llc",$12800,Wed May 27 2015 02:20:00 GMT-0700 (PDT)
2012,Chrysler,200,Touring,sedan,automatic,1c3ccbbb5cn210166,ga,3.7,98998.0mi,blue,beige,ge fleet services for itself/servicer,$8000,Tue Jun 02 2015 06:10:00 GMT-0700 (PDT)
2013,Chevrolet,Cruze,LTZ,sedan,automatic,1g1pg5sb5d7303660,mo,3.5,41482.0mi,white,black,the hertz corporation,$11600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2008,Lincoln,MKX,Base,suv,automatic,2lmdu88c18bj25991,nj,1.9,83019.0mi,black,tan,santander consumer,$8700,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2010,Honda,Accord,EX-L V-6,Sedan,automatic,5kbcp3f80ab011477,nv,4.0,51787.0mi,blue,gray,lexus of las vegas,$13900,Fri Jan 23 2015 03:45:00 GMT-0800 (PST)
2012,Kia,Soul,Base,Wagon,automatic,kndjt2a59c7422037,ga,3.7,54873.0mi,silver,black,gm financial,$9000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2005,GMC,Sierra 1500,SLT,Crew Cab,automatic,2gtec13t951359769,mi,4.9,121723.0mi,blue,gray,larry hudson chevrolet buick gmc inc,$8400,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2006,Dodge,Stratus,SXT,sedan,automatic,1b3el46x46n245034,fl,2.9,59917.0mi,silver,black,stream llc dba stream remarketing solutions,$3000,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
2001,GMC,Sierra 1500,SLE,Extended Cab,automatic,2gtec19t311319057,ca,2.3,164982.0mi,gray,black,martin chevrolet,$4800,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2007,Dodge,Nitro,SLT,suv,automatic,1d8gu58kx7w547923,wa,3.6,51028.0mi,white,beige,xcar inc,$12800,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2013,Volvo,S60,T5,Sedan,automatic,yv1612fs1d2208436,ga,4.3,22640.0mi,blue,beige,volvo car financial service/world omni,$15700,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a78eg255748,tx,4.2,33374.0mi,black,beige,avis corporation,$15000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2014,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap2ec484937,il,4.7,6229.0mi,blue,black,nissan north america inc.,$21300,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a75cg053136,fl,3.9,33634.0mi,white,beige,kia motors finance,$14400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f89eg176671,fl,3.2,8924.0mi,—,black,avis budget group,$20400,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp188274,fl,4.1,29091.0mi,black,gray,southeastern car & truck rental,$12800,Tue Feb 17 2015 02:25:00 GMT-0800 (PST)
2010,Honda,CR-V,LX,suv,automatic,5j6re3h33al017829,tx,3.4,61675.0mi,blue,—,santander consumer,$10900,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2012,Hyundai,Tucson,GLS,SUV,automatic,km8jucac6cu477415,wa,2.4,42996.0mi,blue,beige,wells fargo dealer services,$14600,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am5e5328834,tn,4.6,12554.0mi,—,tan,avis budget group,$18000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl04368,tn,3.6,24802.0mi,blue,—,ford motor credit company,$34000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg8dh552498,wi,2.9,38470.0mi,black,black,bmw alphera/alphera financial services,$13750,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu8du017287,va,2.5,51277.0mi,white,black,dtg operations,$8500,Thu May 28 2015 02:20:00 GMT-0700 (PDT)
2013,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh9d4177665,tx,5.0,22900.0mi,white,gray,hopper motorplex inc,$10300,Wed Dec 31 2014 10:15:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sa8du105739,ca,2.0,39584.0mi,black,gray,santander consumer,$10600,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Touring,sedan,automatic,jm1bl1v81c1628409,ca,2.8,44063.0mi,black,black,"jpmorgan chase bank,n.a.",$9500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2011,Volkswagen,Jetta,SE,Sedan,automatic,3vwdx7aj1bm344592,oh,4.3,57544.0mi,blue,black,pauley motor car co preowned vehicles llc,$10000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h90er308758,fl,4.1,17338.0mi,—,black,avis budget group,$17000,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra GT,Base,Hatchback,manual,kmhd35le5du139967,fl,4.1,8110.0mi,blue,beige,crisas auto sales & repair inc,$11400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2001,BMW,3 Series,325i,Sedan,automatic,wbaav33461ee78045,pa,2.0,183173.0mi,gray,black,purple heart,$1300,Tue Jan 13 2015 13:01:00 GMT-0800 (PST)
2013,Nissan,Leaf,S,hatchback,automatic,1n4az0cp7dc408900,ca,4.1,16221.0mi,white,black,nissan-infiniti lt,$8200,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2012,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4hjwegxcl114065,fl,2.2,45578.0mi,silver,black,"pnc bank, national association",$30000,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2008,Chevrolet,Express Cargo,3500,Van,automatic,1gchg35k681190368,nc,2.6,163694.0mi,white,gray,wilmar leasing inc,$6200,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw3c55ce821964,fl,3.8,39801.0mi,white,red,lauderdale bmw of fort lauderdale,$25500,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ap5au5de024455,tn,3.9,40711.0mi,blue,black,avis corporation,$13900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Toyota,Venza,LE,Wagon,automatic,4t3za3bb8cu061679,ga,2.9,96042.0mi,black,tan,wells fargo dealer services,$12100,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k29dl285451,tx,3.7,43035.0mi,gray,black,enterprise veh exchange/rental,$11000,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h90duc79064,wa,4.8,10580.0mi,silver,gray,"ford motor credit company,llc",$22800,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
2013,Ford,F-250 Super Duty,Platinum,Crew Cab,automatic,1ft7w2bt1deb44228,tx,4.0,50138.0mi,white,black,bank of america,$44250,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap6el853891,ca,2.0,14970.0mi,white,black,fox rent a car tra,$7100,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv9cw408858,il,3.9,31045.0mi,white,gray,nissan-infiniti lt,$11600,Thu Apr 30 2015 03:00:00 GMT-0700 (PDT)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7dbc02758,ga,5.0,17370.0mi,black,black,"ford motor credit company,llc pd",$24200,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn409631,il,4.7,24058.0mi,black,gray,nissan-infiniti lt,$12600,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx5dud03983,tx,4.0,30131.0mi,black,black,wheels lt,$17600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2013,Subaru,Impreza WRX,Base,Sedan,manual,jf1gv7e63dg006982,fl,4.2,29407.0mi,blue,beige,napletons south orlando chrysler jeep dodge,$22300,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i Sport,sedan,automatic,jm1bl1u78d1760402,mo,1.9,47285.0mi,gray,black,the hertz corporation,$9800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2013,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e37d1220336,fl,4.2,38620.0mi,black,gray,enterprise veh exchange/rental,$12600,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm714828,ca,4.6,21797.0mi,gray,black,infiniti financial services,$23500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2015,Jeep,Wrangler,Unlimited Freedom Edition,suv,automatic,1c4bjwdg3fl698725,az,4.7,256.0mi,yellow,black,moab industries,$43900,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj3em191370,fl,4.7,24940.0mi,—,black,avis budget group,$10800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2010,Dodge,Journey,SXT,suv,automatic,3d4ph5fv7at160536,ny,3.5,81407.0mi,white,black,five star bank,$7600,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k26el296571,tn,4.5,21500.0mi,—,black,avis budget group,$12000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2014,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du9e1768084,az,2.7,8901.0mi,black,gray,toyota financial services,$16300,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
2010,Buick,Lucerne,CXL,Sedan,automatic,1g4hc5em5au100507,tn,3.5,92606.0mi,black,gray,sullivan auto group llc,$9800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2013,Kia,Rio,LX,Sedan,automatic,knadm4a37d6162309,fl,2.6,53643.0mi,red,beige,avis corporation,$8700,Wed Feb 11 2015 01:15:00 GMT-0800 (PST)
2012,Kia,Soul,Base,wagon,automatic,kndjt2a54c7421085,oh,3.9,45099.0mi,beige,black,hyundai motor finance,$8900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2007,Chevrolet,TrailBlazer,SS,SUV,automatic,1gnet13h172125258,pa,4.3,94265.0mi,blue,gray,mascio motor car,$13100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2013,Kia,Optima,LX,Sedan,automatic,knagm4a77d5415005,ga,2.5,14925.0mi,silver,gray,td auto finance,$11000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2007,Toyota,Yaris,Base,hatchback,automatic,jtdjt923675126416,fl,1.9,97907.0mi,blue,blue,autonation toyota pinellas park,$3100,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
2006,Ford,Econoline Cargo,E-350 Super Duty,Van,automatic,1ftss34l26ha63684,mo,3.5,123440.0mi,white,gray,fleet lease disposal,$7600,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2015,GMC,Acadia,SLT-1,SUV,automatic,1gkkvrkd9fj120644,ga,4.7,16225.0mi,beige,black,enterprise veh exchange/rental,$32000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh4c5m10048,nj,3.4,35830.0mi,gray,black,"jpmorgan chase bank,n.a.",$11000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2014,Mitsubishi,Mirage,DE,Hatchback,automatic,ml32a3hjxeh002130,pr,4.1,12888.0mi,silver,black,oriental bank,$10000,Thu Mar 05 2015 03:30:00 GMT-0800 (PST)
2013,Jeep,Wrangler,Unlimited Rubicon,SUV,automatic,1c4hjwfgxdl537020,fl,4.6,22970.0mi,yellow,brown,tdaf remarketing,$32800,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
2012,Toyota,RAV4,Limited,SUV,automatic,2t3dk4dv0cw075306,oh,4.5,17060.0mi,gold,tan,toyota financial services,$22100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
