Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
12906,B000IZTDWS,ACJ3LD3PUCJKG,T. Young,0,0,5,1170374400,Dogs love em and good for them too,"I purchased these for my picky eater. He totally loves them. He is a large dog but they gave him plenty of chew time. He is allergic to a lot of dog foods and treats. I was very glad to find these, he had no allergic reactions and really loved them. I just wish my local pet stores carried them."
144866,B002OFUBJO,A3OSITZY7APMS3,Sean,1,1,3,1303084800,Good flavor but a bit tough,I really like the flavor of these but they are a bit tougher than I am used to.  I dont think I will be buying them again.
157807,B000TK6LBS,A33NXNZ79H5K51,"Jean M ""JM""",0,0,5,1332460800,Anytime of day coffee,I tried this for the first time today and I enjoyed it. It had a mild but bold enough flavor for me that I could drink it in the am and have an afternoon cup  when feeling sluggish. No bitterness to it and the smell in the house when it was brewing was as if you were in a Caribou coffee estanlishment.I normally lean towards a more italian or french blend but I really like this. So a great medium roast if that is what you like.
401113,B000KENKXA,A2NSJD195X365C,"Margaret Kornberg ""Peggy loves to cook""",2,2,5,1265760000,gluten free cornbread mix,I added a can of mild roasted chili peppers and a drained can of corn.  Really good and so easy compared to trying to make it up from scratch.  Be careful not to overcook or it dries out.
284193,B0051COPH6,AJ2FDNZ3COBFN,Cassie,0,0,5,1332288000,Good,"I tasted it for myself and this doesn't taste half bad. I didn't want to feed my baby something disgusting, however nutritious. She is just learning to eat solids and she seems to like this food a lot so far. The little pouches are so convenient to carry around and allow me to feed her a little at a time. The first squirt came out kind of fast and flew onto my sleeve so watch out for that. I agree with what others have said about these expiring fast. It may be due to having received it from Vine but I hope that we can use it all up in time. I'm thinking of buying other flavors from this brand in the future."
422777,B001BM4NAE,A1MGP9NZQ5V7KU,Patricia L. Ovitt,1,1,2,1186531200,Disappointed,"I have always loved these chips and buy them often at the grocery store. Since Amazon offered them at a very good price I purchased a case, However, upon receipt I was disappointed and immediately notified the company (Garden of Eatin). They were not as good as the ones in the grocery store (they seemed to be darker and greasier)and I wondered if they were old. The expiration date indicates they are fine. I do not dislike them, though I love the store ones, and have decided to keep them. Salsa can fix anything. However, I will not purchase them again in bulk from Amazon. My biggest disappointment has been that the company never responded to my email."
293305,B000ILILM0,A1MS9UQX4MX680,"mmarch ""mmarch""",0,0,5,1268092800,amazing,"these cookies- and all of the Pamelas simplebites products - are truly amazing. I have been searching FOREVER for even a decent tasting gluten-free cookie and these are incredible!!!!!!!!! Possibly even better than regular cookies! You will not be let down. And do not be fooled by the regular sized pamelas cookies, I didn't like those so much but love these."
226592,B000FFLTEG,AH7MLDP5HOIRQ,PEB,8,8,4,1180137600,Simply Delicious,"Dry Soup, how good can it be?  Quite Good.  Ready in minutes.  I buy this product on regular basics."
149970,B003M60K54,A209QRVZ99UQDC,Calamity Jane,1,1,5,1328486400,Best for Dental Health,"The vet showed me that my 14-year-old cat's teeth and gums were in bad shape. Her teeth were stained and layered with plaque. Her guns were bright red along the edges. She had Gingivitis. I was facing a $300+ teeth cleaning bill for the cat. The vet recommended I try Hill's Dental Diet first. After two months of eating it, the cat returned to the vet. The large, hard nuggets had cleaned the plaque from her teeth. Her gums were no longer red, but pink and healthy. Hill's did what was needed. I am thrilled with the results.<br /><br />Yes, this food is expensive, but so is a teeth cleaning bill for a cat, as well as dental problems if you don't. Once my cat's mouth improved, I cut back on the Hill's. I feed my cat a main diet of Purina dry, but I still give her 8-10 Hill's nuggets a day. She's been on this mixed diet for one year and her teeth and gums are still good and healthy. The Hill's large nuggets act like a tooth brush that scrapes against the cat's teeth.<br /><br />Pound per pound this cat food is actually less expensive than those little bags of tarter control cat treats you buy in the supermarket. Once you get control over your cat's dental problems you can maintain her by giving her several Hill's Dental Diet nuggets a day. If your cat has no problems yet, consider giving her a small handful of Hill's Dental nuggets to ward off any future problems. This stuff works!"
339898,B0014ET1WE,A2I26J87IO5P7M,Ryan Mitchell,2,5,3,1240444800,"Decent amount of clams, very bland taste","I was surprised by the amount of clam chunks -- usually, they try to save money by putting in a couple of chunks and calling it ""clam chowder."" It's not a TON of chunks, but it's an average-ish amount.<br />What I couldn't get over though, was the incredibly bland taste. The ingredients confirm that all the thickening is produced entirely with cornstarch and water. It has a very blah-cornstarchey taste. Gross."
371688,B000Q71L50,A1SLSU5VAOYTH0,Scott Pelton,0,0,4,1304726400,"Great tasting snack, but way overpriced when not on sale!","I really like the taste of these little cookies, and this is the best flavor (IMO).  I got these when they were marked down to $12 and felt like I was paying an OK price.  They have gone back up in price, so waiting for it to come back down so that I can buy more."
222817,B005HGAV88,A1MIF84YZKY5NK,W. R. Goldsborough,1,1,4,1336867200,Nice variety,Looking for a pleasing variety of bedtime teas?  This fits the bill....soothing and tasty.  My friends really appreciate having a choice of caffine free teas in the evening.  I am reordering today.
188719,B000HJPBGC,AJODFYZSKNNWI,"C.C. ""Ducks""",0,0,4,1284768000,Great coffee,"Coffee is very good, have been buying for quite awhile and I love it, there are better coffees out their, but for the price, it  is excellent, coffee is  smooth and taste is very good, can also be purchased from costco, price probably better here though. Magnum company located in Michigan, they have others that are also very good, and there Jamaican Mountain Blue is terrific, a bit expensive, but it is very smooth and very good, try it, you'll love it, you only live once."
66693,B000ZT12NK,A2GEZJHBV92EVR,History buff,0,0,5,1345507200,Good milk. Hefty price.,"I love chocolate milk but was skeptical about how shelf stable milk would taste. I was pleased, the flavor is very good. The price is not! I gave 5 stars for the flavor. Not going to downgrade the flavor because of the price. I don't buy this to drink every day. I buy it & the white milk for my emergency food supplies. The small size is perfect. Allows me to drink the milk up & not have to worry about keeping the open leftover cold. Because there is not any leftover!  Very nice product for emergency food supplies."
38535,B005HTY8OS,A4SWNU42MRVW1,Drdavis,0,0,1,1344816000,Weak hot chocolate,This was a very weak tasting product. It was a watered down hot chocolate at best. I was hoping that it would be an Organo Gold product that I would enjoy. I will not purchase it again.
450431,B000FEFELG,A1JYVHTF738C9X,Carol,0,0,3,1306195200,Reese Cheesoning,My order from Amazon.com was for 6 bottles of Reese Cheesoning.  The box seemed to have plenty of padding yet one bottle was broken.  I could not contact anyone about this problem for a replacement. This is the first opportunity I've had to report this problem.  I've used this brand of cheesoning for many years.  I opened one of the bottles and it smells and tastes stale.  I'll put up with that but want a bottle to replace the broken one.
329988,B002QWHJOU,A2SLPWNVXLZDAV,Bev Scott,0,3,5,1304899200,Yummy!!!,"My name is Duncan, and I'm a mommy's boy, and she and Dad love me so much that they give me one of these every day after supper.  They taste great and clean my teeth at the same time.  All my friends love them, too! They buy them from Amazon because the price is good.  I'm going to have them get on the automatic sending list, so I'll never run out!"
384978,B001RNHITU,A2A3XV2R7CQMBV,"Amanda Peck ""amanda931""",1,2,5,1250208000,high class ramen,"Or, as it says on the package Ramyun.<br /><br />Really right spicy. With both a (high salt and MSG) broth package and a dried vegetable packet.  The mushrooms in the packet never cook to my desired doneness, but they are edible.<br /><br />It may say how eccentric I can be that I think these are great for breakfast.<br /><br />Unfortunately, they were on sale when I bought them, and are not available at all just now.  And I'm down to only one package left."
277819,B002OMV09W,A3A2E86JHAPGIZ,mispolomino13,2,9,1,1278892800,False Advertising,"I paid a much higher price for these plants, thinking I would get the best.  What was received was a can telling how to sow the seeds til they sprouted.  And, they have not sprouted yet.  This company advertised PLANTS, and send SEEDS"
68448,B00080QKT2,A1NMGX8SJPVAHX,"Amber Worth ""Whisper sync broke audible for a...",3,5,5,1318464000,I got this as a present for my big brother and he loved it.,"one line was enough. see title.oh this is irritating.  Amazon, making me post a long review to have any review is irritating, but the tea was good."
553586,B001E6IULK,A2JZE14RJAITQ8,"G. Proulx ""Up to my Neck in Tech""",0,0,4,1330300800,"Great for lunch packers, a little hard","I have these on subscribe and save since we go through so many. They are a great, easy, snack to either pack in lunches, or to grab when you are on the go. Sure, they may not be a health food, but at least they are a filling snack that can tide you over to the next meal.<br /><br />They are quite hard so it'd be nice if they were a little softer, but nonetheless I still enjoy them. I enjoy how they have real peanut butter slathered around the outside of them. Overall, a tasty snack for a good price, especially when you use subscribe and save."
194983,B0000DYVLY,ADHQ4L92YUHK0,"Daniel T. Williams ""DWill""",6,28,5,1101168000,"Pistachios, what was god thinking?","When Jesus saved all of the holy mesiah from drowning by making Noah build a giant boat, he must have messed up and let pistachios on the boat.  Who creates such a pecular object?  The ackward shell on the outside hiding the hidious greenish brown nut on the inside.  This is the nerd of the nut family people.  Then some of them the shell doesnt have that little helper crack to make it easy to peel.  Then you have to bite it or something and get shells in your mouth.  Its horriable that a nut could be deemed livable, we should all band together and rid the world of pistachios.  Maybe if they called it something cooler i would have different views on it.  How about calling it ""The Evil Nut From Hell That's Color Is Best Described As Breen, A Mix Of Brown And Green"", then i would have no problem with it.  If we all band together this fantasy could become a reality.  maybe well call it tenfhtcibdabamobag for short.<br /><br />Actually now that i think of it, I love pistachios and the name.  Disregard everything I had just stated and go eat some NOW."
554151,B000RT9JCE,A1MWJUH06NY5ZF,"R. D. Dell ""dan dell""",1,1,5,1297468800,Trident's Best Flavor!,"The Cool Rush is a great flavor that has become very hard to find in retail stores.<br />I wish the manufacturer would get this back on the shelves soon.  It is long-lasting flavor, and my favorite of ALL gums!"
246747,B000G7TH24,A1GJ8GVQMV9A7V,Love to read,0,0,4,1313539200,Good...not great,"After reading the reviews, I had higher expectations.  This is good, but I feel like I need to add fruit, dried fruit or nuts to make this more than plain old granola."
487663,B000GJQ5C2,A1YO9KVF7A4W0N,Politicking,0,0,5,1325635200,Amazing Cake! Very Moist!,"I was a little disappointed when I received this cake for Christmas. But I can tell you after tasting it, that feeling was gone. This cake is delicious!"
287997,B003YH9E4E,A27Q1X75QCWTID,Amanda Devon,4,4,5,1333756800,Picky Papillons Love It,"My Papillons (ages 8 and 9) have been the pickiest damn dogs I have ever met.  You know when the vet says ""they will eat eventually, they won't starve""?  Well, no.  These damn dogs would starve if they didn't get to eat something they liked.  I have been struggling for years to find food that is not made in China, not made from chicken from China even if manufactured in the USA.  Finally, I found Halo.  I integrated the Halo Spots Stew kibble and the Halo Spot's Stew chicken canned into the Paps diet over 2 weeks.  Week one they ate half of the Halo and by the end of week two they were eating ALL of the Halo product and the small amount of the old brand was left in their bowls.  Their skin is fantastic, their poops are a perfect consistency (not too hard or too soft) and they are energetic and just happy and excited for meal time now.  I also feed them the Halo LiL Bits freeze dried chicken treats.  All of the ingredients are from USA and made solely here.  And, I am thrilled that my favorite TV talk show host, Ms. Ellen Degeneres is a part owner of the company.<br /><br />Thank you Amazon for offering this here as it is hard to get in my somewhat small town pet stores who seem to cater to gross China food that will make all our dogs sick."
92776,B001L048WO,A2UE1811ZZOPVJ,C. Reid,2,10,3,1276300800,Ok,"It cam on time and was exactly as advertised, but I find it has taste to it like all other sugars."
26913,B0047E7EYK,A1RDARTK3VQ4AU,gooniegoogoo,0,0,5,1350000000,The best there is!,"I don't eat sweets but I eat fudge and have had the pleasure of tasting many a fine recipe but none have been as tasty as Mo's - none.<br />I tried the standard chocolate and the vanila crunch and it was to die for.  I reluctantly shared it with four others who were really taken back about how good the fudge was so it's not just me - it was a hit all the way around :).<br />One thing to note is the fudge ( I bought 1/2lb of each) came in a lovely decorative box totally suitable for gift giving so you could purchase and have it sent directly as a gift knowing that it will be arrive wrapped nicely and professionally.<br />In my reviews I like to include the ""cons"" but there simply are none for Mo's Fudge - I will never buy any other fudge again and doubt you will either after you give theirs a try."
340023,B000EYPNCW,AY29CL3RQ1BDX,"D. Olson ""Happy Girl""",2,2,4,1219622400,Like real sweet corn,"These actually taste like real sweet corn kernels.  I was hoping more for a crunchy ""Corn Nut"" taste.  They are more airy but still tasty."
160671,B001BOQ3SW,A30KNLUAYQ73F2,"P. A. Kettlewell ""handyhen""",11,11,5,1196121600,ALLERGIES DEALT WITH!!!,"My black German Shepherd has allergies to corn & wheat, which seems to be the primary ingredients in most dog foods.  We suffered with her for years, cooking chicken, hamburger, rice to keep her healthy until we found the WELLNESS products.  They have turned her into a beautiful, not scratching or licking youthful dog.  We are also now feeding our lab and corgi the same foods with similar results.  Thank You Wellness!  (Incidentally the foods sold by the vet as hypo-allergenic had either corn syrup &/or wheat germ in it.  We read all labels now, all the way thru the fine print!)  Another added benefit for the larger dogs is the incorporation of glucosamine & chondroitin into it, saving additional vet bills."
222749,B002OFH5G6,A2JQ9N3SZUDTQ2,"JackMetal ""mjack""",0,0,4,1334534400,Good Bars but fattening....,"These bars are really good. They have no soy or other poisons. My one issue is the agave, which is basically sugar. I've conducted my own experiments and have concluded they make me gain fat, so if you're trying to lose weight this is not a good idea unless you're extremely hungry and need to eat something.."
546832,B0018CEABE,AU382IFSHQY0,"Timothy Beuthien ""Tim""",2,2,5,1255046400,Dog loves the Canidae,"My dog has had diarhea problems with all sorts of dog foods in the past.  We switched him to this a couple months ago and he is doing great.  This food was recommended by our pet store and I agree that it is not only healthy, but gentle on my dogs touchy stomach."
351991,B000M0F58U,A3PA1Q5C43YY52,Andrea Rivers,0,0,5,1329523200,Good Tea,"This is a good tasting tea at a great price. If you don't normally like raspberry flavor, this isn't really raspberry flavor, if that makes sense. No heavy flavor."
276098,B000FBMFDO,AB9HWBI6SLMIU,Santa Fean,0,0,5,1257552000,The only thing that works,"We have spent three years trying to get rid of pocket gophers in our N.M. back yard. We have spent many hundreds of dollars on other traps, store-bought gas bombs, ""professional"" gopher trapper, and ""professional"" gaser (from the pest company--they use aluminum phosphide). Nothing worked. The first day I set out four of these, I caught a pocket gopher in one of them. In one case, I didn't have the trap positioned precisely enough and the vermin got around it.<br />Placing the traps does take time and practice, but it's the only thing that has worked at all. Unlike poisons, you see the proof of its success. I do not use carrots in the traps. I've used a piece of sandstone or paper on the outside of the trap to keep dirt out and then cover the trap with soil again. I have to dig out the trap in a day or two, but it's the only way to be sure no light is getting through."
254586,B008QLRHDS,AVFBH3IXLTOHZ,Elizabeth Boatwright,5,14,1,1320710400,WAY overpriced,1-10 count box is about $9 at Vons...why is this so expensive on Amazon?  I won't be purchasing this from amazon until the price comes down significantly.
425913,B000TQEWM2,A304I97FHXQQTS,Antec,0,0,5,1317513600,delicious!!,"this coffee is very good and it has a good flavor to it.. its not strong and its not light, its just right=)"
415070,B0002B0RDM,APWGD0ZDM093W,"George Rodrix ""Carioca rover.""",1,1,5,1237420800,Shipping,"This is a great product. Easy to drink, nice taste that reminds me of almonds, nutty taste. I enjoy it unsweetened. Very effective, one week, along with a more natural diet, and my blood pressure has lowered 20 + points. But most remarkable is this company's shipping. Extremely fast shipping."
99634,B0015ICUUE,A2T93I8CQEXX0U,sdgirl_34,0,0,5,1326758400,HUGE HIT,"I ordered this to use as a White Elephant gift for Christmas. It was a big success, and everyone had their eye on it! The individual wrapped pieces were easy to share with the crowd, I'm sure more will show up next year!"
165748,B000CPZSC8,A2FBS46XQ07H5R,Bridget,0,0,5,1290470400,Great Vanilla Beans!,"Received the vanilla beans super fast!  Bought them to make homemade vanilla and they were perfect!  At such a great bargain, I'll definitely purchase all of my vanilla beans from these guys!  Thanks!"
